"problem_number","title","classification","to_check_rank","latest_reference_year","status","note"
"EP-1075","Erdős Problem #1075","to-check","170","1964","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er64f} proved that this is true with $c_r=r^{-r}$ whenever the graph has at least $\epsilon n^r$ many edges."
"EP-1083","Erdős Problem #1083","harder","","2008","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1084","Erdős Problem #1084","harder","","2013","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1085","Erdős Problem #1085","harder","","2009","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1086","Erdős Problem #1086","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1087","Erdős Problem #1087","to-check","198","1971","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: A question of Erdos and Purdy \cite{ErPu71}, who proved $ n^3\log n \ll f(n) \ll n^{7/2}."
"EP-1088","Erdős Problem #1088","to-check","220","1975","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos \cite{Er75f} claimed that he and Straus proved $f_d(n)\leq c_n^d$ for some constant $c_n>0$."
"EP-1089","Erdős Problem #1089","to-check","221","1975","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Straus proved (in unpublished work mentioned in \cite{Er75f}) that $ g_d(n) \leq c^{d^{1-b_n}} $ for some constants $c>0$ and $b_n>0$."
"EP-1091","Erdős Problem #1091","to-check","276","1982","first_question_solved_second_open","First subquestion is yes (Voss, 1982) for K4-free 4-chromatic graphs: an odd cycle with at least two diagonals exists."
"EP-1092","Erdős Problem #1092","to-check","272","1982","first_question_false_general_open","First subquestion is false: background reports R""odl (1982) gives a counterexample, so f_2(n) is not >> n."
"EP-1093","Erdős Problem #1093","to-check","331","1993","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Barreto in the comments has given a positive answer to the second question, conditional on two (strong) conjectures."
"EP-1094","Erdős Problem #1094","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1095","Erdős Problem #1095","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1096","Erdős Problem #1096","to-check","348","1996","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Bugeaud \cite{Bu96} proved that $1<q\leq 2$ is a Pisot-Vijayaraghavan number if and only if $ \liminf (x_{k+1}^m-x_k^m)>0 $ for all $m\geq 1$, where $x_k^m$ is the set of those numbers which can be written as a finite sum $\sum_{n\geq 0}c_nq^n$ for some $c_n\in \{0,\ldots,m\}$ (so that the sequence in the question is $x_k^1$)."
"EP-1097","Erdős Problem #1097","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1100","Erdős Problem #1100","to-check","268","1981","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Hall prove, for all $\epsilon>0$ and sufficiently large $x$, $ \max_{n<x} \tau_\perp(n) > \exp((\log\log x)^{2-\epsilon})."
"EP-1101","Erdős Problem #1101","to-check","267","1981","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: He proved the existence of some good sequence (in which all the $u_i$ are primes)."
"EP-1103","Erdős Problem #1103","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1104","Erdős Problem #1104","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1105","Erdős Problem #1105","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1106","Erdős Problem #1106","to-check","374","2000","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Schinzel and Wirsing \cite{ScWi87} have proved $F(n) \gg \log n$."
"EP-1107","Erdős Problem #1107","to-check","294","1988","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This is true when $r=2$, as proved by Heath-Brown \cite{He88} (see [941])."
"EP-1108","Erdős Problem #1108","to-check","314","1991","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: It is open even whether there are infinitely many squares of the form $1+n!$ (see [398])."
"EP-1109","Erdős Problem #1109","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1110","Erdős Problem #1110","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1111","Erdős Problem #1111","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1112","Erdős Problem #1112","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1113","Erdős Problem #1113","harder","","2008","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1117","Erdős Problem #1117","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1120","Erdős Problem #1120","to-check","205","1974","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: The trivial lower bound for the length of this path is $1$, which is achieved for $f(z)=z^n$."
"EP-1122","Erdős Problem #1122","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1129","Erdős Problem #1129","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1130","Erdős Problem #1130","to-check","240","1978","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: This is true, and was proved by de Boor and Pinkus \cite{dBPi78}."
"EP-1131","Erdős Problem #1131","to-check","336","1994","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: Erdos first conjectured this minimum was achieved by taking the $x_i$ to be the roots of the integral of the Legendre polynomial, since Fejer \cite{Fe32} had earlier shown these to be minimisers of $ \max_{x\in [-1,1]}\sum_k \lvert l_k(x)\rvert^2."
"EP-1132","Erdős Problem #1132","to-check","166","1961","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A result of Bernstein \cite{Be31} implies that the set of $x\in(-1,1)$ for which $ \limsup_{n\to \infty}\frac{L_n(x)}{\log n}\geq \frac{2}{\pi} $ is everywhere dense."
"EP-1133","Erdős Problem #1133","to-check","182","1967","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos proved that, for any $C>0$, there exists $\epsilon>0$ such that if $n$ is sufficiently large and $m=\lfloor (1+\epsilon)n\rfloor$ then for any $x_1,\ldots,x_m\in [-1,1]$ there is a polynomial $P$ of degree $n$ such that $\lvert P(x_i)\rvert\leq 1$ for $1\leq i\leq m$ and $ \max_{x\in [-1,1]}\lvert P(x)\rvert>C."
"EP-1135","Erdős Problem #1135","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
